,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%
attFT[1],-0.0115,0.0622,0.0011,0.0034,-0.1419,-0.0496,-0.008,0.0293,0.1084
attFT[2],0.0081,0.0657,0.0012,0.0041,-0.116,-0.0354,0.0042,0.0481,0.1494
attFT[3],-0.0191,0.0639,0.0012,0.0036,-0.1528,-0.0586,-0.0159,0.0223,0.1027
attFT[4],0.0031,0.0652,0.0012,0.0039,-0.1286,-0.0377,0.0038,0.0457,0.1302
attFT[5],-0.0049,0.0651,0.0012,0.004,-0.1351,-0.0483,-0.0052,0.0366,0.1247
attFT[6],-0.0049,0.0673,0.0012,0.0042,-0.1353,-0.049,-0.0067,0.0375,0.1362
attFT[7],0.0383,0.0686,0.0013,0.0047,-0.0976,-0.0075,0.04,0.0823,0.1724
attFT[8],-0.0246,0.0688,0.0013,0.0041,-0.1643,-0.0692,-0.023,0.0216,0.103
attFT[9],0.0311,0.065,0.0012,0.0039,-0.0934,-0.0128,0.0307,0.0731,0.161
attFT[10],0.0036,0.0638,0.0012,0.0036,-0.1257,-0.0377,0.0033,0.0432,0.1321
attFT[11],0.0057,0.0669,0.0012,0.0041,-0.1366,-0.0372,0.0076,0.0498,0.1348
attFT[12],-0.0281,0.0679,0.0012,0.0043,-0.1803,-0.0688,-0.0235,0.0184,0.0947
attFT[13],0.009,0.0687,0.0013,0.004,-0.1298,-0.0345,0.009,0.0502,0.151
attFT[14],0.0053,0.0664,0.0012,0.004,-0.1336,-0.0346,0.0044,0.0481,0.1381
attFT[15],-0.0176,0.0703,0.0013,0.0043,-0.1674,-0.0601,-0.0131,0.0288,0.1105
attFT[16],0.0068,0.0666,0.0012,0.0041,-0.1225,-0.0379,0.0068,0.0489,0.1465
attFT[17],-0.0028,0.0678,0.0012,0.0037,-0.1436,-0.0465,-0.0009,0.0411,0.1294
attFT[18],0.0012,0.0668,0.0012,0.0039,-0.1322,-0.0412,0.0002,0.0423,0.1332
attFT[19],-0.0147,0.0697,0.0013,0.0044,-0.1772,-0.0529,-0.0119,0.0288,0.1163
attFT[20],-0.0044,0.068,0.0012,0.0042,-0.1329,-0.0476,-0.0027,0.0386,0.1276
attFT[21],0.0041,0.0621,0.0011,0.0033,-0.1257,-0.0352,0.0045,0.0458,0.1239
attFT[22],0.0136,0.0645,0.0012,0.0038,-0.1052,-0.03,0.0111,0.0548,0.1511
attFT[23],0.0023,0.0588,0.0011,0.0031,-0.1092,-0.0382,0.0011,0.0406,0.1205
attFT[24],0.0181,0.0659,0.0012,0.0042,-0.1091,-0.0245,0.0159,0.0598,0.1529
attFT[25],-0.0005,0.063,0.0011,0.0036,-0.1247,-0.0397,-0.0009,0.0387,0.1234
attFT[26],0.0173,0.068,0.0012,0.0044,-0.1098,-0.0264,0.0142,0.0578,0.1678
attFT[27],-0.0411,0.0667,0.0012,0.0039,-0.1798,-0.0865,-0.0371,0.0036,0.0797
attFT[28],-0.0103,0.0658,0.0012,0.0038,-0.1369,-0.0507,-0.0121,0.0308,0.1292
attFT[29],0.025,0.0652,0.0012,0.0041,-0.0932,-0.0176,0.0206,0.067,0.1566
attFT[30],-0.0083,0.0612,0.0011,0.0032,-0.1295,-0.0468,-0.0053,0.0328,0.1084
defFT[1],-0.0282,0.0703,0.0013,0.0042,-0.1835,-0.0688,-0.0246,0.0195,0.0968
defFT[2],0.004,0.0685,0.0013,0.004,-0.1245,-0.0412,0.0016,0.0484,0.146
defFT[3],-0.0205,0.069,0.0013,0.0043,-0.1664,-0.0619,-0.0174,0.024,0.1067
defFT[4],0.0116,0.0704,0.0013,0.0046,-0.1294,-0.0347,0.0107,0.0564,0.156
