,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
attFT[1],-0.0208,0.0240,0.0004,0.0005,-0.0682,-0.0370,-0.0204,-0.0046,0.0250,,,,,,,,,,,
attFT[2],0.0204,0.0240,0.0004,0.0005,-0.0282,0.0046,0.0207,0.0368,0.0661,,,,,,,,,,,
attFT[3],-0.0674,0.0254,0.0005,0.0006,-0.1174,-0.0850,-0.0670,-0.0502,-0.0187,,,,,,,,,,,
attFT[4],0.0425,0.0240,0.0004,0.0006,-0.0039,0.0255,0.0426,0.0594,0.0890,,,,,,,,,,,
attFT[5],-0.0294,0.0250,0.0005,0.0006,-0.0765,-0.0463,-0.0296,-0.0120,0.0191,,,,,,,,,,,
attFT[6],-0.0262,0.0240,0.0004,0.0005,-0.0732,-0.0420,-0.0263,-0.0102,0.0201,,,,,,,,,,,
attFT[7],0.1891,0.0226,0.0004,0.0005,0.1440,0.1735,0.1898,0.2050,0.2314,,,,,,,,,,,
attFT[8],-0.1125,0.0265,0.0005,0.0006,-0.1610,-0.1308,-0.1129,-0.0937,-0.0610,,,,,,,,,,,
attFT[9],0.1935,0.0216,0.0004,0.0005,0.1521,0.1789,0.1939,0.2082,0.2362,,,,,,,,,,,
attFT[10],-0.0207,0.0241,0.0004,0.0005,-0.0679,-0.0377,-0.0211,-0.0039,0.0256,,,,,,,,,,,
attFT[11],-0.0125,0.0243,0.0004,0.0006,-0.0592,-0.0292,-0.0130,0.0039,0.0362,,,,,,,,,,,
attFT[12],-0.1281,0.0257,0.0005,0.0006,-0.1786,-0.1455,-0.1278,-0.1111,-0.0769,,,,,,,,,,,
attFT[13],0.0260,0.0232,0.0004,0.0005,-0.0183,0.0098,0.0260,0.0421,0.0706,,,,,,,,,,,
attFT[14],0.0126,0.0235,0.0004,0.0005,-0.0331,-0.0030,0.0124,0.0284,0.0592,,,,,,,,,,,
attFT[15],-0.0893,0.0253,0.0005,0.0006,-0.1402,-0.1060,-0.0889,-0.0719,-0.0406,,,,,,,,,,,
attFT[16],0.0398,0.0239,0.0004,0.0005,-0.0064,0.0232,0.0398,0.0556,0.0860,,,,,,,,,,,
attFT[17],-0.0281,0.0242,0.0004,0.0006,-0.0759,-0.0444,-0.0285,-0.0121,0.0214,,,,,,,,,,,
attFT[18],-0.0070,0.0244,0.0004,0.0005,-0.0549,-0.0239,-0.0066,0.0098,0.0391,,,,,,,,,,,
attFT[19],-0.0475,0.0237,0.0004,0.0006,-0.0929,-0.0644,-0.0475,-0.0307,-0.0011,,,,,,,,,,,
attFT[20],-0.0435,0.0245,0.0004,0.0006,-0.0942,-0.0599,-0.0430,-0.0269,0.0015,,,,,,,,,,,
attFT[21],0.0362,0.0235,0.0004,0.0005,-0.0097,0.0205,0.0362,0.0520,0.0827,,,,,,,,,,,
attFT[22],0.0244,0.0243,0.0004,0.0005,-0.0245,0.0082,0.0249,0.0411,0.0709,,,,,,,,,,,
attFT[23],0.0488,0.0230,0.0004,0.0005,0.0047,0.0325,0.0489,0.0650,0.0943,,,,,,,,,,,
attFT[24],0.0703,0.0236,0.0004,0.0005,0.0232,0.0541,0.0702,0.0867,0.1166,,,,,,,,,,,
attFT[25],-0.0231,0.0240,0.0004,0.0005,-0.0718,-0.0392,-0.0225,-0.0070,0.0232,,,,,,,,,,,
attFT[26],0.0749,0.0232,0.0004,0.0005,0.0291,0.0591,0.0751,0.0903,0.1199,,,,,,,,,,,
attFT[27],-0.2051,0.0273,0.0005,0.0007,-0.2596,-0.2227,-0.2052,-0.1867,-0.1505,,,,,,,,,,,
attFT[28],-0.0234,0.0249,0.0005,0.0006,-0.0736,-0.0398,-0.0240,-0.0066,0.0271,,,,,,,,,,,
attFT[29],0.1450,0.0226,0.0004,0.0005,0.0993,0.1301,0.1452,0.1599,0.1886,,,,,,,,,,,
attFT[30],-0.0387,0.0239,0.0004,0.0006,-0.0857,-0.0549,-0.0385,-0.0223,0.0070,,,,,,,,,,,
defFT[1],-0.1047,0.0255,0.0005,0.0006,-0.1532,-0.1225,-0.1047,-0.0870,-0.0545,,,,,,,,,,,
defFT[2],0.0501,0.0239,0.0004,0.0005,0.0015,0.0348,0.0503,0.0659,0.0976,,,,,,,,,,,
defFT[3],-0.0582,0.0248,0.0005,0.0006,-0.1059,-0.0750,-0.0581,-0.0417,-0.0105,,,,,,,,,,,
defFT[4],0.0542,0.0239,0.0004,0.0005,0.0067,0.0378,0.0542,0.0705,0.1008,,,,,,,,,,,
defFT[5],-0.0556,0.0251,0.0005,0.0006,-0.1068,-0.0719,-0.0555,-0.0391,-0.0057,,,,,,,,,,,
defFT[6],-0.0265,0.0248,0.0005,0.0006,-0.0742,-0.0432,-0.0269,-0.0097,0.0237,,,,,,,,,,,
defFT[7],0.1117,0.0232,0.0004,0.0006,0.0661,0.0963,0.1117,0.1277,0.1559,,,,,,,,,,,
defFT[8],0.0177,0.0243,0.0004,0.0006,-0.0296,0.0014,0.0177,0.0335,0.0663,,,,,,,,,,,
defFT[9],0.1590,0.0219,0.0004,0.0005,0.1152,0.1445,0.1588,0.1741,0.2016,,,,,,,,,,,
defFT[10],-0.1781,0.0263,0.0005,0.0006,-0.2287,-0.1964,-0.1781,-0.1600,-0.1271,,,,,,,,,,,
defFT[11],0.1742,0.0227,0.0004,0.0006,0.1304,0.1585,0.1746,0.1892,0.2198,,,,,,,,,,,
defFT[12],-0.0180,0.0242,0.0004,0.0006,-0.0659,-0.0345,-0.0174,-0.0016,0.0281,,,,,,,,,,,
defFT[13],-0.0703,0.0256,0.0005,0.0006,-0.1199,-0.0878,-0.0704,-0.0528,-0.0198,,,,,,,,,,,
defFT[14],0.0079,0.0239,0.0004,0.0005,-0.0397,-0.0090,0.0085,0.0247,0.0535,,,,,,,,,,,
defFT[15],0.0345,0.0242,0.0004,0.0006,-0.0123,0.0182,0.0346,0.0502,0.0808,,,,,,,,,,,
defFT[16],0.2300,0.0222,0.0004,0.0005,0.1865,0.2148,0.2303,0.2450,0.2732,,,,,,,,,,,
defFT[17],0.0565,0.0237,0.0004,0.0005,0.0100,0.0402,0.0563,0.0715,0.1033,,,,,,,,,,,
defFT[18],0.1111,0.0236,0.0004,0.0005,0.0642,0.0948,0.1114,0.1269,0.1577,,,,,,,,,,,
defFT[19],-0.0721,0.0255,0.0005,0.0006,-0.1232,-0.0888,-0.0718,-0.0552,-0.0226,,,,,,,,,,,
defFT[20],-0.0218,0.0259,0.0005,0.0006,-0.0743,-0.0395,-0.0214,-0.0045,0.0292,,,,,,,,,,,
defFT[21],-0.0594,0.0248,0.0005,0.0005,-0.1090,-0.0762,-0.0593,-0.0427,-0.0117,,,,,,,,,,,
defFT[22],-0.0784,0.0259,0.0005,0.0006,-0.1300,-0.0957,-0.0781,-0.0606,-0.0299,,,,,,,,,,,
defFT[23],-0.0908,0.0257,0.0005,0.0006,-0.1403,-0.1084,-0.0911,-0.0733,-0.0396,,,,,,,,,,,
defFT[24],0.0439,0.0240,0.0004,0.0005,-0.0034,0.0280,0.0443,0.0602,0.0907,,,,,,,,,,,
defFT[25],-0.0853,0.0245,0.0004,0.0005,-0.1343,-0.1014,-0.0852,-0.0687,-0.0374,,,,,,,,,,,
defFT[26],0.1468,0.0232,0.0004,0.0005,0.1025,0.1317,0.1468,0.1615,0.1934,,,,,,,,,,,
defFT[27],-0.2101,0.0277,0.0005,0.0007,-0.2650,-0.2285,-0.2106,-0.1921,-0.1554,,,,,,,,,,,
defFT[28],-0.1118,0.0252,0.0005,0.0006,-0.1609,-0.1287,-0.1116,-0.0945,-0.0643,,,,,,,,,,,
defFT[29],0.0827,0.0225,0.0004,0.0005,0.0393,0.0671,0.0827,0.0975,0.1268,,,,,,,,,,,
defFT[30],-0.0392,0.0255,0.0005,0.0006,-0.0908,-0.0563,-0.0391,-0.0217,0.0101,,,,,,,,,,,
