,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
eta,0.5639,0.0679,0.0004,0.0005,0.4302,0.5185,0.5636,0.6101,0.6966,,,,,,,,,,,
str[1],0.3308,0.2310,0.0013,0.0017,-0.1221,0.1735,0.3297,0.4881,0.7793,,,,,,,,,,,
str[2],1.1914,0.2548,0.0015,0.0020,0.7050,1.0186,1.1874,1.3626,1.7062,,,,,,,,,,,
str[3],-0.3289,0.2278,0.0013,0.0016,-0.7829,-0.4790,-0.3264,-0.1733,0.1125,,,,,,,,,,,
str[4],0.0000,0.2263,0.0013,0.0016,-0.4414,-0.1516,-0.0014,0.1528,0.4502,,,,,,,,,,,
str[5],1.4432,0.2703,0.0016,0.0021,0.9345,1.2565,1.4364,1.6220,1.9919,,,,,,,,,,,
str[6],0.4701,0.2346,0.0014,0.0017,0.0160,0.3115,0.4699,0.6278,0.9339,,,,,,,,,,,
str[7],0.7016,0.2376,0.0014,0.0018,0.2437,0.5411,0.7000,0.8611,1.1742,,,,,,,,,,,
str[8],-0.1033,0.2275,0.0013,0.0017,-0.5536,-0.2560,-0.1025,0.0493,0.3407,,,,,,,,,,,
str[9],-0.6677,0.2349,0.0014,0.0017,-1.1323,-0.8247,-0.6650,-0.5098,-0.2120,,,,,,,,,,,
str[10],0.6516,0.2349,0.0014,0.0017,0.1952,0.4929,0.6503,0.8096,1.1154,,,,,,,,,,,
str[11],-0.2315,0.2280,0.0013,0.0016,-0.6775,-0.3854,-0.2308,-0.0791,0.2133,,,,,,,,,,,
str[12],-1.2437,0.2568,0.0015,0.0019,-1.7615,-1.4140,-1.2392,-1.0681,-0.7544,,,,,,,,,,,
str[13],1.3564,0.2646,0.0015,0.0020,0.8543,1.1759,1.3498,1.5308,1.8973,,,,,,,,,,,
str[14],-0.9153,0.2430,0.0014,0.0018,-1.3948,-1.0777,-0.9124,-0.7499,-0.4445,,,,,,,,,,,
str[15],0.1327,0.2277,0.0013,0.0016,-0.3150,-0.0200,0.1331,0.2856,0.5808,,,,,,,,,,,
str[16],-0.3571,0.2276,0.0013,0.0016,-0.8084,-0.5084,-0.3547,-0.2038,0.0827,,,,,,,,,,,
str[17],-0.9297,0.2465,0.0014,0.0019,-1.4253,-1.0928,-0.9259,-0.7639,-0.4538,,,,,,,,,,,
str[18],-0.3746,0.2289,0.0013,0.0017,-0.8282,-0.5279,-0.3736,-0.2187,0.0684,,,,,,,,,,,
str[19],0.4328,0.2309,0.0013,0.0017,-0.0182,0.2779,0.4315,0.5862,0.8897,,,,,,,,,,,
str[20],-0.4681,0.2313,0.0013,0.0017,-0.9288,-0.6242,-0.4679,-0.3110,-0.0186,,,,,,,,,,,
str[21],-1.0077,0.2464,0.0014,0.0018,-1.5003,-1.1698,-1.0030,-0.8393,-0.5416,,,,,,,,,,,
str[22],0.9783,0.2429,0.0014,0.0018,0.5148,0.8116,0.9754,1.1414,1.4621,,,,,,,,,,,
str[23],0.0013,0.2227,0.0013,0.0016,-0.4380,-0.1492,0.0010,0.1497,0.4402,,,,,,,,,,,
str[24],0.2447,0.2289,0.0013,0.0016,-0.2059,0.0900,0.2434,0.3988,0.6935,,,,,,,,,,,
str[25],0.7037,0.2368,0.0014,0.0017,0.2404,0.5428,0.7035,0.8644,1.1702,,,,,,,,,,,
str[26],-1.3993,0.2672,0.0015,0.0020,-1.9421,-1.5745,-1.3933,-1.2176,-0.8931,,,,,,,,,,,
str[27],0.6746,0.2348,0.0014,0.0017,0.2220,0.5157,0.6719,0.8327,1.1423,,,,,,,,,,,
str[28],-0.4148,0.2304,0.0013,0.0017,-0.8683,-0.5697,-0.4135,-0.2591,0.0340,,,,,,,,,,,
str[29],0.3498,0.2308,0.0013,0.0017,-0.0973,0.1935,0.3472,0.5057,0.8021,,,,,,,,,,,
str[30],-1.2213,0.2558,0.0015,0.0019,-1.7354,-1.3917,-1.2186,-1.0459,-0.7332,,,,,,,,,,,
