g,Date,HomeTeam,AwayTeam,Hg,Ag,HFT,H2PT,H3PT,HT,AFT,A2PT,A3PT,AT,HomeWin
1,28/10/2008,Chicago Bulls,Milwaukee Bucks,4,16,33,30,5,108,15,31,6,95,1
2,28/10/2008,Boston Celtics,Cleveland Cavaliers,2,5,21,30,3,90,24,26,3,85,1
3,28/10/2008,Los Angeles Lakers,Portland Trail Blazers,13,25,15,30,7,96,8,19,10,76,1
4,29/10/2008,Orlando Magic,Atlanta Hawks,22,1,17,28,4,85,18,33,5,99,0
5,29/10/2008,San Antonio Spurs,Phoenix Suns,27,24,13,35,5,98,19,33,6,103,0
6,29/10/2008,Detroit Pistons,Indiana Pacers,8,11,14,34,6,100,24,29,4,94,1
7,29/10/2008,Washington Wizards,New Jersey Nets,30,18,20,25,5,85,15,31,6,95,0
8,29/10/2008,Los Angeles Clippers,Los Angeles Lakers,12,13,14,25,5,79,25,31,10,117,0
9,29/10/2008,Philadelphia 76ers,Toronto Raptors,23,28,21,24,5,84,13,26,10,95,0
10,29/10/2008,Golden State Warriors,New Orleans Hornets,9,19,22,27,9,103,19,34,7,108,0
11,29/10/2008,Oklahoma City Thunder,Milwaukee Bucks,21,16,22,31,1,87,21,28,7,98,0
12,29/10/2008,Minnesota Timberwolves,Sacramento Kings,17,26,11,39,3,98,19,31,5,96,1
13,29/10/2008,Utah Jazz,Denver Nuggets,29,7,22,35,2,98,18,32,4,94,1
14,29/10/2008,Houston Rockets,Memphis Grizzlies,10,14,21,23,5,82,9,31,0,71,1
15,29/10/2008,New York Knicks,Miami Heat,20,15,27,33,9,120,25,36,6,115,1
16,30/10/2008,Cleveland Cavaliers,Charlotte Bobcats,5,3,19,28,7,96,26,22,3,79,1
17,30/10/2008,Dallas Mavericks,Houston Rockets,6,10,28,31,4,102,29,31,7,112,0
18,30/10/2008,Phoenix Suns,New Orleans Hornets,24,19,14,30,7,95,21,24,13,108,0
19,31/10/2008,Boston Celtics,Chicago Bulls,2,4,30,30,2,96,28,23,2,80,1
20,31/10/2008,Toronto Raptors,Golden State Warriors,28,9,26,34,6,112,13,31,11,108,1
21,31/10/2008,Los Angeles Clippers,Denver Nuggets,12,7,26,34,3,103,34,35,3,113,0
22,31/10/2008,Memphis Grizzlies,Orlando Magic,14,22,24,28,2,86,16,19,10,84,1
23,31/10/2008,Philadelphia 76ers,New York Knicks,23,20,10,50,2,116,16,25,7,87,1
24,31/10/2008,Miami Heat,Sacramento Kings,15,26,19,30,8,103,17,27,2,77,1
25,31/10/2008,Portland Trail Blazers,San Antonio Spurs,25,27,18,32,6,100,14,29,9,99,1
